"field2","field3","field5","field6"
"Local authority","Institution trading name (1)","Independent special school / Special post-16 institution","Date approved under section 41 
"
"Somerset","3 Dimensionscare Ltd","Independent special school","Aug-16"
"Kirkby","Activate","Special post-16 institution","Aug-15"
"Barnet","Ambitious College","Special post-16 institution","Sep-14"
"Cumbria","Appletree School","Independent special school","Sep-14"
"Birmingham","Arc Oakbridge School","Independent special school","Aug-19"
"Warwickshire","Arc School Ansley","Independent special school","Sep-14"
"Warwickshire","Arc School Napton","Independent special school","Sep-14"
"Warwickshire","Arc School Old Arley","Independent special school","Sep-14"
"Sefton","Arden College","Special post-16 institution","Sep-14"
"Haringey","Area 51 Education Ltd","Special post-16 institution","Sep-14"
"Stockport","Ashcroft School","Independent special school","Sep-14"
"Dorset","Aurora Boveridge College","Special post-16 institution","Dec-18"
"Blackburn with Darwen","Aurora Brambles East School","Independent special school","Dec-14"
"Lancashire","Aurora Brambles School","Independent special school","Dec-14"
"Lancashire","Aurora Keyes Barn School","Independent special school","Dec-14"
"Cambridgeshire","Aurora Meldreth Manor School","Independent special school","Sep-14"
"South Gloucestershire","Aurora Hedgeway School","Independent special school","Aug-17"
"Durham","Aycliffe School","Independent special school","Sep-14"
"Bromley","Baston House School","Independent special school","Aug-15"
"Lancashire","Beaumont College","Special post-16 institution","Sep-14"
"Glamorgan","Beechwood College","Special post-16 institution","Aug-15"
"Lancashire","Belmont School","Independent special school","Aug-16"
"Hammersmith and Fulham","BeyondAutism Post-19","Special post-16 institution","Aug-18"
"Wandsworth","BeyondAutism Schools - Park House School","Independent special school","Nov-17"
"Wandsworth","BeyondAutism Schools - Tram House School","Independent special school","Nov-17"
"Bolton","Birtenshaw College","Special post-16 institution","Aug-20"
"Liverpool","Birtenshaw School Merseyside","Independent special school","Sep-18"
"Suffolk","Bramfield House School","Independent special school","Aug-16"
"Kent","Brewood School","Independent special school","Aug-15"
"Manchester","Bridge College","Special post-16 institution","Sep-14"
"Warrington","Bright Futures Care","Independent special school","Aug-16"
"Kent","Brogdale CIC","Special post-16 institution","Aug-17"
"Sutton","Brookways School","Independent Special School","Aug-19"
"Swindon","Brunel Education","Special post-16 institution","Aug-21"
"Peterborough","Calman Colaiste","Special post-16 institution","Aug-18"
"Birmingham","Calthorpe Vocational Trust","Special post-16 institution","Dec-14"
"East Riding of Yorkshire","Cambian Beverley School","Independent special school","Dec-14"
"Bury","Cambian Chesham House School","Independent special school","Apr-15"
"Devon","Cambian Devon School","Independent special school","Dec-14"
"Northumberland","Cambian Dilston College","Special post-16 institution","Sep-14"
"Hartlepool","Cambian Hartlepool School","Independent special school","Dec-14"
"Herefordshire","Cambian Hereford School","Independent special school","Apr-15"
"Hampshire","Cambian Hill House School","Independent special school","Sep-14"
"Worcestershire","Cambian New Elizabethan School","Independent special school","Apr-15"
"Northamptonshire","Cambian Northampton School","Independent special school","Dec-14"
"Denbighshire","Cambian Pengwern College","Special post-16 institution","Sep-14"
"North Yorkshire","Cambian Scarborough School","Independent special school","Dec-14"
"Somerset","Cambian Somerset School","Independent special school","Dec-14"
"Hampshire","Cambian Southlands School","Independent special school","Sep-14"
"Cumbria","Cambian Whinfell School","Independent special school","Sep-14"
"Bournemouth","Cambian Wing College","Special post-16 institution","Apr-15"
"Cambridgeshire","Cambian Wisbech School","Independent special school","Dec-14"
"Hartlepool","Catcote Futures","Special post-16 institution","Aug-17"
"North Yorkshire","Cedar House School","Independent special school","Dec-14"
"Wandsworth","Centre Academy London","Independent special school","Aug-15"
"Hampshire","Clay Hill","Independent special school","Sep-14"
"Wales","Coleg Elidyr","Special post-16 institution","Sep-14"
"Doncaster","Communication Specialist College-Doncaster","Special post-16 institution","Sep-14"
"Somerset","Compton Dundon School","Independent special school","Aug-20"
