"GIAS reference","Local Authority","School Name","Section41 Approval"
"203","Greenwich","Wize Up","No"
"204","Hackney","Inspired Directions School","No"
"204","Hackney","Side By Side School","No"
"205","Hammersmith & Fulham","The Moat School","No"
"205","Hammersmith & Fulham","Parayhouse School","Not applicable"
"207","Kensington & Chelsea","Frederick Hugh House","No"
"209","Lewisham","Young Women's Hub","No"
"210","Southwark","Treasure House London CIC","No"
"210","Southwark","Phoenixplace","No"
"210","Southwark","Cavendish School","No"
"212","Wandsworth","The Chelsea Group of Children","No"
"212","Wandsworth","The Dominie School Limited","No"
"213","Westminster","Fairley House School","No"
"213","Westminster","Abingdon House School","No"
"301","Barking & Dagenham","Hopewell School (Harmony House)","No"
"301","Barking & Dagenham","Northstar New School","No"
"302","Barnet","Limespring School","No"
"302","Barnet","The Holmewood School London","No"
"303","Bexley","Park View Academy","No"
"304","Brent","Edith Kay Independent School","No"
"304","Brent","The Corner School","No"
"304","Brent","Southover Partnership School","No"
"305","Bromley","Clannad Education Centre","No"
"305","Bromley","Kent House Hospital School","No"
"305","Bromley","Browns School","No"
"305","Bromley","TLC The Learning Centre","No"
"306","Croydon","The Write Time","No"
"306","Croydon","Serenity School","No"
"306","Croydon","Rutherford School","No"
"306","Croydon","Cressey College","No"
"307","Ealing","North West London Independent Special School","No"
"308","Enfield","Applied Educational Solutions","No"
"309","Haringey","Woodstar School","No"
"309","Haringey","Treehouse School","Not applicable"
"311","Havering","The Bridge","No"
"312","Hillingdon","RNIB Sunshine House School and Children's Home","Not applicable"
"312","Hillingdon","Pield Heath House RC School","Not applicable"
"313","Hounslow","PPP Community School","No"
"315","Merton","Blossom House School","No"
"316","Newham","East London Independent Special School","No"
"317","Redbridge","Oak House School","No"
"317","Redbridge","Stradbroke","No"
"319","Sutton","Brookways School","No"
"330","Birmingham","Silver Birch","No"
"330","Birmingham","R.Y.A.N Education Academy","No"
"330","Birmingham","Arc Oakbridge School","No"
"330","Birmingham","Spring Hill High School","No"
"332","Dudley","The Rowan School","No"
"332","Dudley","Wenlock School","No"
"333","Sandwell","Homeschool","No"
"334","Solihull","The Island Project School","No"
"335","Walsall","Chase House School","No"
"336","Wolverhampton","Bow Street School","No"
"336","Wolverhampton","Woodbury School","No"
"340","Knowsley","Lawrence House School","No"
"340","Knowsley","Newlands Hey","No"
"341","Liverpool","Liverpool Progressive School","No"
"341","Liverpool","St Vincent's School - A Specialist School for Sensory Impairment and Other Needs","Not applicable"
"341","Liverpool","Royal School for the Blind (Liverpool)","Not applicable"
"342","St Helens","Crossley Manor","No"
"342","St Helens","Wargrave House School","Not applicable"
"343","Sefton","Peterhouse School","Not applicable"
"344","Wirral","West Kirby Residential School","Not applicable"
"350","Bolton","Birtenshaw","Not applicable"
"351","Bury","Woodlands School","No"
"351","Bury","Excel and Exceed Centre","No"
"352","Manchester","IncludEd","No"
"352","Manchester","Manchester Jewish School for Special Education","No"
"353","Oldham","Bright Futures School for children with autism","No"
"354","Rochdale","Cedar Lodge","No"
"354","Rochdale","Meadows School","No"
"355","Salford","Aim Habonim","No"
"356","Stockport","Broadstones","No"
"356","Stockport","Ramillies Hall School","No"
"356","Stockport","Reddish Hall School","No"
"356","Stockport","Acorns School","No"
"356","Stockport","Willow House","No"
"356","Stockport","Inscape House School","Not applicable"
"356","Stockport","Royal School, Manchester","Not applicable"
"357","Tameside","Brambles School","No"
"357","Tameside","Greater Manchester Alternative Provision","No"
"357","Tameside","Lime Meadows","No"
"358","Trafford","Fairfield House School","No"
"358","Trafford","St John Vianney School","Not applicable"
"359","Wigan","Expanse Learning Wigan School","No"
"359","Wigan","Cambian Tyldesley School","No"
"370","Barnsley","Park House School","No"
"370","Barnsley","Dove School","No"
"371","Doncaster","North Bridge Enterprise College","No"
