"la_name","SEN_Unit","RP_Unit","Total pupils","EHC plan"
"City of London","0","0","270","7"
"City of London","1","0","769","0"
"City of London","0","1","241","0"
"City of London","0","0","991","0"
"Camden","0","0","114","0"
"Camden","0","0","37","0"
"Camden","0","0","17","9"
"Camden","0","0","335","13"
"Camden","0","0","418","10"
"Camden","0","0","367","11"
"Camden","0","0","407","4"
"Camden","0","0","211","7"
"Camden","0","0","191","5"
"Camden","0","0","230","8"
"Camden","0","0","216","5"
"Camden","0","1","399","43"
"Camden","0","0","339","4"
"Camden","0","1","450","18"
"Camden","0","0","317","9"
"Camden","0","0","407","7"
"Camden","0","1","449","25"
"Camden","0","0","446","10"
"Camden","0","0","232","8"
"Camden","0","0","236","10"
"Camden","0","0","190","0"
"Camden","0","0","212","7"
"Camden","0","0","231","7"
"Camden","0","0","232","2"
"Camden","0","0","184","6"
"Camden","0","0","210","5"
"Camden","0","1","235","28"
"Camden","0","0","303","5"
"Camden","0","0","167","13"
"Camden","0","0","174","2"
"Camden","0","0","214","4"
"Camden","0","0","186","5"
"Camden","0","0","227","6"
"Camden","0","0","206","6"
"Camden","0","0","134","6"
"Camden","0","0","197","5"
"Camden","0","0","196","3"
"Camden","0","0","204","5"
"Camden","0","0","260","6"
"Camden","0","0","883","25"
"Camden","0","0","1184","20"
"Camden","0","1","1040","35"
"Camden","0","0","1326","34"
"Camden","0","1","1135","72"
"Camden","0","0","1045","14"
"Camden","0","0","769","28"
"Camden","0","0","853","29"
"Camden","0","0","991","9"
"Camden","0","0","0","0"
"Camden","0","0","246","0"
"Camden","0","0","170","1"
"Camden","0","0","184","1"
"Camden","0","0","469","1"
"Camden","0","0","1271","2"
"Camden","0","0","213","1"
"Camden","0","0","245","3"
"Camden","0","0","137","2"
"Camden","0","0","163","1"
"Camden","0","0","307","1"
"Camden","0","0","172","1"
"Camden","0","0","133","0"
"Camden","0","0","372","0"
"Camden","0","0","439","3"
"Camden","0","0","168","0"
"Camden","0","0","932","0"
"Camden","0","0","86","0"
"Camden","0","0","218","5"
"Camden","0","0","642","0"
"Camden","0","0","103","0"
"Camden","0","0","691","0"
"Camden","0","0","196","2"
"Camden","0","0","192","1"
"Camden","0","0","181","0"
"Camden","0","0","36","36"
"Camden","0","0","30","30"
"Camden","0","0","76","5"
"Camden","0","0","260","260"
"Greenwich","0","0","155","0"
"Greenwich","0","0","205","0"
"Greenwich","0","0","120","0"
"Greenwich","0","0","230","0"
"Greenwich","0","0","125","53"
"Greenwich","0","0","869","11"
"Greenwich","0","0","427","10"
"Greenwich","0","0","235","9"
"Greenwich","0","0","411","4"
"Greenwich","0","0","368","9"
"Greenwich","0","0","297","4"
"Greenwich","0","0","429","10"
"Greenwich","0","0","349","4"
"Greenwich","0","0","417","7"
"Greenwich","0","0","733","14"
"Greenwich","0","0","400","12"
"Greenwich","0","1","234","3"
"Greenwich","0","0","866","20"
"Greenwich","0","0","478","3"
"Greenwich","0","0","219","6"
"Greenwich","0","0","422","7"
"Greenwich","0","0","444","7"
"Greenwich","0","0","419","13"
"Greenwich","0","0","492","9"
"Greenwich","0","0","491","12"
"Greenwich","0","0","459","4"
"Greenwich","0","0","808","5"
"Greenwich","0","0","373","6"
"Greenwich","0","0","226","3"
"Greenwich","0","0","416","7"
"Greenwich","0","0","450","9"
"Greenwich","0","0","191","4"
"Greenwich","0","0","209","6"
"Greenwich","0","0","455","6"
"Greenwich","0","0","356","3"
"Greenwich","0","0","185","1"
"Greenwich","0","0","329","3"
"Greenwich","0","0","1598","23"
"Greenwich","0","0","341","4"
"Greenwich","0","0","221","3"
"Greenwich","0","0","201","1"
"Greenwich","0","0","210","1"
"Greenwich","0","0","415","8"
"Greenwich","0","0","164","5"
"Greenwich","0","0","188","1"
"Greenwich","0","0","209","5"
"Greenwich","0","0","209","10"
"Greenwich","0","0","1160","18"
"Greenwich","0","0","1486","45"
"Greenwich","0","1","2027","110"
"Greenwich","0","0","650","5"
"Greenwich","0","0","460","11"
"Greenwich","0","0","358","1"
"Greenwich","0","0","363","0"
"Greenwich","0","0","146","85"
"Greenwich","0","0","224","1"
"Greenwich","0","0","1204","2"
"Lewisham","0","0","117","0"
"Greenwich","0","0","36","36"
"Hackney","0","0","97","1"
"Hackney","0","0","119","6"
"Hackney","0","0","447","29"
"Hackney","0","0","188","2"
"Hackney","0","0","576","23"
"Hackney","0","0","171","11"
"Hackney","0","0","268","18"
"Hackney","0","0","424","6"
"Hackney","0","0","440","27"
"Hackney","0","1","660","38"
"Hackney","0","0","473","23"
"Hackney","0","0","676","17"
"Hackney","0","0","440","24"
"Hackney","0","0","304","16"
"Hackney","0","0","334","6"
"Hackney","0","0","420","16"
"Hackney","0","0","470","17"
"Hackney","0","0","390","12"
"Hackney","0","1","256","20"
"Hackney","0","1","341","31"
"Hackney","0","1","421","29"
"Hackney","0","0","675","29"
"Hackney","0","0","231","7"
"Hackney","0","1","344","20"
"Hackney","0","0","219","16"
"Hackney","0","0","429","18"
"Hackney","0","0","214","12"
"Hackney","0","0","210","7"
"Hackney","0","0","255","14"
"Hackney","0","0","226","11"
"Hackney","0","0","442","16"
"Hackney","0","0","205","6"
"Hackney","0","0","326","8"
"Hackney","0","0","261","12"
"Hackney","0","0","309","13"
"Hackney","0","0","209","5"
"Hackney","0","0","318","22"
"Hackney","0","0","218","7"
"Hackney","0","0","226","5"
"Hackney","0","0","199","4"
"Hackney","0","0","165","10"
"Hackney","0","0","184","6"
"Hackney","0","0","211","7"
"Hackney","0","0","112","5"
"Hackney","0","0","1016","34"
"Hackney","0","0","1666","82"
"Hackney","0","0","734","8"
"Hackney","0","0","881","30"
"Hackney","0","0","1050","25"
"Hackney","0","0","202","7"
"Hackney","0","0","1048","12"
